"Convergence history of Velocity Magnitude on miao31 etc. (in SI units)"
"Iteration" "flow-time etc.."
("Iteration" "flow-time" "Sum Velocity Magnitude")
100 0.1 38.91870557348056
200 0.2 51.48330398869824
300 0.3 54.12577594814215
400 0.4 54.04229160900057
500 0.5 53.45164722455094
600 0.6 56.2334529975669
700 0.7000000000000001 60.74238399538144
800 0.8 65.42599652009713
900 0.9 69.71463032607045
1000 1 70.38381266981513
1100 1.1 70.54897590774871
1200 1.2 80.09767749393899
1300 1.3 83.58666592606203
1400 1.4 86.90363298551662
1500 1.5 87.280153722664
1600 1.6 89.00258020887861
1700 1.7 90.50196000864752
1800 1.8 89.97423337963852
1900 1.9 84.92892734523502
2000 2 83.08144002359548
2100 2.1 83.81299923695451
2200 2.2 83.54588830704407
2300 2.3 87.52031616929943
2400 2.4 93.62228851348911
2500 2.5 98.58471876271585
2600 2.6 99.5778139142873
2700 2.7 105.6374397768501
2800 2.8 101.095821139457
2900 2.9 102.4829102938532
3000 3 98.93736228136322
3100 3.1 108.2844703092508
3200 3.2 96.2577885648569
3300 3.3 93.90761335477396
3400 3.4 89.74628114009492
3500 3.5 84.19247998094684
3600 3.6 85.72190757882203
3700 3.7 85.84220166017997
3800 3.8 81.74086532005498
3900 3.9 81.8535770196064
4000 4 81.57853923441769
4100 4.1 85.18226531001265
4200 4.2 85.06320827630037
4300 4.3 78.67522937432003
4400 4.4 74.33083041495712
4500 4.5 72.06429130051302
4600 4.600000000000001 75.33993926432089
4700 4.7 77.81577761781635
4800 4.8 79.70245409859534
4900 4.9 77.26201464212011
5000 5 77.10049437322769
5100 5.100000000000001 79.20735685751517
5200 5.2 79.42451699043042
5300 5.3 80.0187932312314
5400 5.4 79.8786106761614
5500 5.5 88.63271095209249
5600 5.600000000000001 83.82202328403864
5700 5.7 81.28065583389417
5800 5.8 86.57645313486219
5900 5.9 84.0699450686453
6000 6 78.05143654600516
6100 6.100000000000001 73.39638247871591
6200 6.2 68.7402730449592
6300 6.3 65.05967987798098
6400 6.4 67.24132275467528
6500 6.5 70.10103330539523
6600 6.600000000000001 75.54042302296853
6700 6.7 80.66063460993669
6800 6.8 84.36286514707133
6900 6.9 92.53843021047186
7000 7 94.92190868550244
7100 7.100000000000001 97.19999931960211
7200 7.2 85.62933657509893
7300 7.3 81.19453290177736
7400 7.4 84.57491331546534
7500 7.5 85.30532277085939
